Order,Topic,Expertise,Old_Class,Old_Expertise
1,Research expertise,Basic Research; ,Expert Type,Scientific / Fundamental Research
1,Research expertise,Applied Research,Expert Type,Applied Sciences / Technologies / Engineering
1,Research expertise,Research Interface and Management;,Expert Type,Research Interface / Management
1,Research expertise,Interdisciplinary Research;,,
1,Research expertise,Transdisciplinary Research,,
2.1,Atmospheric Sciences,Meteorology; ,Topic Atmosphere,Meteorology
2.1,Atmospheric Sciences,Climatology;,Topic Atmosphere,Climate
2.1,Atmospheric Sciences,Atmospheric Physics or Chemistry; ,,
2.1,Atmospheric Sciences,Pollution,Topic Atmosphere,Air Pollution
2.2,Hydrospheric Sciences,Fresh Water Systems; ,Topic Hydrosphere,Fresh Water Systems / Rivers / Lakes
2.2,Hydrospheric Sciences,Precipitation and Runoff; ,Topic Hydrosphere,Precipitation / Runoff
2.2,Hydrospheric Sciences,Hydrogeology,,
2.3,Cryospheric Sciences,Glaciology;,Topic  Cryosphere,Glaciers
2.3,Cryospheric Sciences,Snow Sciences; ,,
2.3,Cryospheric Sciences,Permafrost and Solifluction; ,Topic  Cryosphere,Permafrost / Solifluction
2.4,Earth Sciences,Soil Science/Pedology,,
2.4,Earth Sciences,Geomorphology; ,,
2.4,Earth Sciences,Geochemistry;,Topic  Lithosphere,Geochemical Processes
2.4,Earth Sciences,Geology;,Topic  Pedosphere,Geology / Sediments
2.4,Earth Sciences,Physical Geography;,,
2.4,Earth Sciences,Geophysics;,,
2.5,Biological Sciences,Botany; ,Topic  Biosphere,Plants
2.5,Biological Sciences,Zoology,Topic  Biosphere,Animals
2.5,Biological Sciences,Ecology; ,,
2.5,Biological Sciences,Terrestrial Ecosystems;,Topic  Ecosystems,Terrestrial Ecosystems
2.5,Biological Sciences,Aquatic Ecosystems; ,Topic  Ecosystems, Marine Ecosystems
2.5,Biological Sciences,Soil organisms; ,,
2.5,Biological Sciences,Forestry; ,,
2.5,Biological Sciences,Ecosystem functioning;,,
2.5,Biological Sciences,Ecosystem services;,,
2.5,Biological Sciences,Biodiversity; ,Topic  Biosphere,Biodiversity
2.6,Social Sciences and Humanities,"History, classical studies, archaeology, prehistory and early history; ",,
2.6,Social Sciences and Humanities,"Linguistics and literature, philosophy;",Topic Culture/History,Philosophy / Religion
2.6,Social Sciences and Humanities,"Art studies, musicology, theatre and film studies, architecture;",Topic Culture/History,Art / Folklore / Symbols / Language
2.6,Social Sciences and Humanities,"Ethnology, social and human geography; ",Topic Culture/History,Ethics / Cultural Values
2.6,Social Sciences and Humanities,Psychology;,,
2.6,Social Sciences and Humanities,Educational studies;,Topic Society,Education / Communication / Participation
2.6,Social Sciences and Humanities,"Sociology, social work; ",,
2.6,Social Sciences and Humanities,Political sciences;,Topic Politics/ Law,Topic Politics/ Law
2.6,Social Sciences and Humanities,Media and communication studies; ,Topic Society,Education / Communication / Participation
2.6,Social Sciences and Humanities,Public health,Topic Health,
2.6,Social Sciences and Humanities,Economics;,Topic  Integrated Systems,Economic Cycle
2.6,Social Sciences and Humanities,Law,Topic Politics/ Law,
2.7,Integrated Systems,Carbon Cycle;,Topic  Integrated Systems,Carbon Cycle
2.7,Integrated Systems,Other Biogeochemical Cycles;,Topic  Integrated Systems,Biogeochemical Cycles except Carbon
2.7,Integrated Systems,Hydrogeochemical Cycle;,Topic  Integrated Systems,Hydrogeochemical Cycle
2.7,Integrated Systems,Nutrient Cycle;,Topic  Integrated Systems,Nutrient Cycle / Food Chain
2.7,Integrated Systems,Social-ecological Systems; ,,
3,Spatial scale of expertise,Global / Hemispheric;,Spatial Scale, Global / Hemispheric
3,Spatial scale of expertise,Continental;,Spatial Scale,Continental
3,Spatial scale of expertise,Regional;,Spatial Scale,Regional
3,Spatial scale of expertise,National / Cultural;,Spatial Scale,National / Cultural
3,Spatial scale of expertise,Local / Community;,Spatial Scale,Local / Community
4,Statistical Focus,Extremes;,Statistical Focus,Extreme Events
4,Statistical Focus,Mean Change / Trends;,Statistical Focus, Mean Change / Trends
4,Statistical Focus,Variability;,Statistical Focus,Variability
5,Time Scales,Seasonal / Annual;,,
5,Time Scales,Decadal / Centennial;,,
5,Time Scales,Millenial;,,
5,Time Scales,100 kyr;,,
5,Time Scales,Billenial (Mio yrs);,,
6,Methods,Earth Observations;,,
6,Methods,Remote sensing;,,
6,Methods,Field observations;,,
6,Methods,Field Experiments;,,
6,Methods,Modeling;,Methods,Modeling
6,Methods,Spatial analyses;,,
6,Methods,Policy Analysis and Formation;,Methods,Policy Analysis and Formation
6,Methods,Qualitative social science methods;,Methods," Data Collection - Interviews, Questionnaires"
6,Methods,Integrative assessments;,Methods,Integrated Assessment
6,Methods,Synthesis and meta-analyses;,,
